Date_SK,Date,Day,Month,Month_Name,Quarter,Year,Week,Day_Name,Is_Weekend
314,2015-11-10 0:00:00,10,11,November,4,2015,46,Tuesday,0
315,2015-11-11 0:00:00,11,11,November,4,2015,46,Wednesday,0
316,2015-11-12 0:00:00,12,11,November,4,2015,46,Thursday,0
317,2015-11-13 0:00:00,13,11,November,4,2015,46,Friday,0
318,2015-11-14 0:00:00,14,11,November,4,2015,46,Saturday,1
319,2015-11-15 0:00:00,15,11,November,4,2015,46,Sunday,1
320,2015-11-16 0:00:00,16,11,November,4,2015,47,Monday,0
321,2015-11-17 0:00:00,17,11,November,4,2015,47,Tuesday,0
322,2015-11-18 0:00:00,18,11,November,4,2015,47,Wednesday,0
323,2015-11-19 0:00:00,19,11,November,4,2015,47,Thursday,0
324,2015-11-20 0:00:00,20,11,November,4,2015,47,Friday,0
325,2015-11-21 0:00:00,21,11,November,4,2015,47,Saturday,1
326,2015-11-22 0:00:00,22,11,November,4,2015,47,Sunday,1
327,2015-11-23 0:00:00,23,11,November,4,2015,48,Monday,0
328,2015-11-24 0:00:00,24,11,November,4,2015,48,Tuesday,0
329,2015-11-25 0:00:00,25,11,November,4,2015,48,Wednesday,0
330,2015-11-26 0:00:00,26,11,November,4,2015,48,Thursday,0
331,2015-11-27 0:00:00,27,11,November,4,2015,48,Friday,0
332,2015-11-28 0:00:00,28,11,November,4,2015,48,Saturday,1
333,2015-11-29 0:00:00,29,11,November,4,2015,48,Sunday,1
334,2015-11-30 0:00:00,30,11,November,4,2015,49,Monday,0
335,2015-12-01 0:00:00,1,12,December,4,2015,49,Tuesday,0
336,2015-12-02 0:00:00,2,12,December,4,2015,49,Wednesday,0
337,2015-12-03 0:00:00,3,12,December,4,2015,49,Thursday,0
338,2015-12-04 0:00:00,4,12,December,4,2015,49,Friday,0
339,2015-12-05 0:00:00,5,12,December,4,2015,49,Saturday,1
340,2015-12-06 0:00:00,6,12,December,4,2015,49,Sunday,1
341,2015-12-07 0:00:00,7,12,December,4,2015,50,Monday,0
342,2015-12-08 0:00:00,8,12,December,4,2015,50,Tuesday,0
343,2015-12-09 0:00:00,9,12,December,4,2015,50,Wednesday,0
344,2015-12-10 0:00:00,10,12,December,4,2015,50,Thursday,0
345,2015-12-11 0:00:00,11,12,December,4,2015,50,Friday,0
346,2015-12-12 0:00:00,12,12,December,4,2015,50,Saturday,1
347,2015-12-13 0:00:00,13,12,December,4,2015,50,Sunday,1
348,2015-12-14 0:00:00,14,12,December,4,2015,51,Monday,0
349,2015-12-15 0:00:00,15,12,December,4,2015,51,Tuesday,0
350,2015-12-16 0:00:00,16,12,December,4,2015,51,Wednesday,0
351,2015-12-17 0:00:00,17,12,December,4,2015,51,Thursday,0
352,2015-12-18 0:00:00,18,12,December,4,2015,51,Friday,0
353,2015-12-19 0:00:00,19,12,December,4,2015,51,Saturday,1
354,2015-12-20 0:00:00,20,12,December,4,2015,51,Sunday,1
355,2015-12-21 0:00:00,21,12,December,4,2015,52,Monday,0
356,2015-12-22 0:00:00,22,12,December,4,2015,52,Tuesday,0
357,2015-12-23 0:00:00,23,12,December,4,2015,52,Wednesday,0
358,2015-12-24 0:00:00,24,12,December,4,2015,52,Thursday,0
359,2015-12-25 0:00:00,25,12,December,4,2015,52,Friday,0
360,2015-12-26 0:00:00,26,12,December,4,2015,52,Saturday,1
361,2015-12-27 0:00:00,27,12,December,4,2015,52,Sunday,1
362,2015-12-28 0:00:00,28,12,December,4,2015,53,Monday,0
363,2015-12-29 0:00:00,29,12,December,4,2015,53,Tuesday,0
